assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,cycle_test_1,cycle_test_2,cycle_test_3,cat_1,cat_2,cat_3,attendance,lab_marks,risk_level
51,56,62,95,7,62,10,65,13,99,56,51,72,Medium Risk
92,16,85,63,25,21,91,73,53,79,45,66,26,Medium Risk
14,85,1,97,70,10,75,44,84,15,7,81,16,High Risk
71,89,87,88,29,57,38,46,85,58,9,92,43,Medium Risk
60,43,71,9,6,56,89,62,20,80,72,57,44,Medium Risk
20,24,10,20,66,76,76,75,49,53,66,52,7,High Risk
82,16,63,45,64,3,71,76,93,78,10,61,79,Medium Risk
86,12,76,90,35,85,62,54,38,15,11,69,17,High Risk
74,83,80,26,24,6,63,74,19,14,9,65,32,High Risk
74,24,71,65,36,60,60,18,87,97,24,63,0,High Risk
87,67,20,40,0,53,53,34,86,10,48,65,75,Medium Risk
99,9,17,12,14,87,91,52,6,64,48,98,5,High Risk
23,66,93,8,36,67,93,25,8,78,88,92,40,Medium Risk
2,17,63,35,12,91,72,13,0,89,10,98,54,Medium Risk
21,99,81,85,7,78,94,44,25,67,61,100,4,Medium Risk
52,85,94,89,4,0,57,43,37,42,35,82,58,Medium Risk
1,33,37,57,59,54,84,87,37,68,38,79,79,Medium Risk
87,7,31,53,72,2,55,64,60,98,52,61,17,Medium Risk
29,39,10,11,0,77,33,50,43,12,89,64,48,High Risk
37,82,44,80,35,37,30,42,85,9,77,67,81,Medium Risk
1,41,88,77,34,0,51,85,43,74,55,77,64,Medium Risk
63,40,32,13,65,37,88,22,73,81,0,72,82,Medium Risk
59,100,40,33,62,84,75,55,61,97,55,63,53,Medium Risk
20,5,7,52,22,28,0,18,5,40,3,79,60,High Risk
32,51,10,19,8,4,54,81,16,49,29,82,7,High Risk
75,25,85,74,33,73,21,75,50,86,11,94,2,Medium Risk
57,63,50,15,45,91,39,54,37,70,34,64,24,High Risk
21,97,87,94,77,20,100,91,23,58,76,56,68,Medium Risk
88,58,40,69,3,70,0,91,50,38,51,64,54,Medium Risk
48,55,16,55,29,66,64,59,9,2,30,91,39,High Risk
90,58,75,82,94,46,62,58,71,75,86,95,82,Low Risk
58,69,45,100,74,83,53,32,20,6,67,87,81,Medium Risk
41,100,31,57,98,82,41,18,69,48,51,95,49,Medium Risk
91,32,78,3,71,34,20,27,84,25,79,93,94,Medium Risk
59,52,79,3,2,67,78,51,56,32,6,60,32,High Risk
79,21,53,19,13,68,80,48,38,100,21,78,17,Medium Risk
14,20,85,9,59,0,21,36,87,47,92,80,56,Medium Risk
61,69,91,23,76,67,37,25,32,78,74,74,15,Medium Risk
61,69,19,98,44,11,98,98,58,1,55,73,79,Medium Risk
46,3,32,25,95,59,79,97,17,70,96,68,37,Medium Risk
61,93,73,36,33,26,7,98,55,31,57,51,40,High Risk
50,74,39,84,44,55,61,39,91,3,92,71,6,Medium Risk
54,61,31,53,60,22,46,79,56,19,63,69,77,Medium Risk
63,61,96,20,82,24,16,37,95,35,11,82,52,Medium Risk
2,93,1,73,15,20,16,76,75,31,6,57,62,High Risk
100,94,96,37,65,60,89,86,47,27,54,74,88,Medium Risk
50,23,32,45,39,62,12,53,41,76,61,95,31,Medium Risk
6,54,76,3,16,51,16,21,26,0,89,58,37,High Risk
20,8,29,59,33,87,37,15,73,59,72,83,21,Medium Risk
72,2,32,56,15,24,80,27,51,55,97,72,15,High Risk
38,30,76,44,59,54,77,34,41,34,76,54,51,Medium Risk
17,39,25,19,65,45,44,59,31,29,54,74,28,High Risk
3,100,21,16,65,31,5,44,25,53,35,57,15,High Risk
88,35,65,70,89,54,34,45,24,35,88,65,75,Medium Risk
59,23,37,3,12,95,13,71,74,54,23,97,16,Medium Risk
13,94,89,92,55,4,71,54,22,88,43,94,100,Medium Risk
8,5,45,13,30,35,60,85,97,79,16,64,63,Medium Risk
89,65,14,2,33,48,14,84,56,57,1,50,90,Medium Risk
52,83,97,87,38,57,53,25,51,82,12,71,88,Medium Risk
1,91,43,100,66,38,26,84,86,64,30,52,12,High Risk
83,74,48,79,7,79,12,24,92,68,92,87,71,Medium Risk
91,3,74,57,86,96,30,64,30,50,27,63,55,Medium Risk
59,78,60,54,77,84,34,5,63,21,59,85,4,High Risk
70,5,66,3,54,60,59,22,70,87,26,67,11,High Risk
43,93,5,23,26,8,5,63,32,100,14,96,40,Medium Risk
7,50,8,33,92,5,68,86,84,52,94,90,2,Medium Risk
46,61,5,29,52,34,85,42,1,99,78,67,98,Medium Risk
34,56,72,81,38,38,57,22,17,35,32,52,32,High Risk
